Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_10_trace,117.67702960968018,Pass,437.44812178611755,50000052,18486844,2.7046,6548159,270109,0.3542,0.0146,4.1250%,5.4022,13220554,48.9453,264.4108,25000052,6392878,3.9106,3150015,121250,0.4927,0.0190,3.8492%,4.8500,4144207,34.1790,165.7679
infra,infra_1_trace,175.13615703582764,Pass,353.26794171333313,37799521,8294324,4.5573,4337669,19621,0.5230,0.0024,0.4523%,0.5191,703125,35.8353,18.6014,19799521,3733627,5.3030,2263258,4041,0.6062,0.0011,0.1785%,0.2041,131491,32.5392,6.6411
infra,infra_9_trace,141.69822597503662,Pass,420.2996587753296,50000052,29425615,1.6992,7203244,239519,0.2448,0.0081,3.3252%,4.7904,19899097,83.0794,397.9815,25000052,17201794,1.4533,3405201,172404,0.1980,0.0100,5.0630%,6.8961,14593144,84.6450,583.7245
infra,infra_4_trace,84.87091732025146,Pass,399.6099965572357,40000016,23993808,1.6671,5988066,101627,0.2496,0.0042,1.6972%,2.5407,12343027,121.4542,308.5756,20000016,11986611,1.6685,2971304,50250,0.2479,0.0042,1.6912%,2.5125,6172033,122.8265,308.6014
int,int_24_trace,145.24023818969727,Pass,458.90095496177673,40000051,14650798,2.7302,8385203,25800,0.5723,0.0018,0.3077%,0.6450,2788875,108.0959,69.7218,20000051,6938966,2.8823,4599578,10191,0.6629,0.0015,0.2216%,0.5095,1191506,116.9175,59.5751
int,int_18_trace,108.31880569458008,Pass,425.65198397636414,39999864,10863125,3.6822,9457814,35512,0.8706,0.0033,0.3755%,0.8878,1565441,44.0820,39.1362,20999864,5169244,4.0625,4985263,14830,0.9644,0.0029,0.2975%,0.7062,601453,40.5565,28.6408
int,int_34_trace,112.3776216506958,Pass,288.0826048851013,40000052,11192596,3.5738,6380286,123516,0.5700,0.0110,1.9359%,3.0879,5699033,46.1400,142.4756,20000052,4958326,4.0336,3101677,64218,0.6255,0.0130,2.0704%,3.2109,2582707,40.2178,129.1350
int,int_23_trace,182.35865116119385,Pass,372.7454798221588,40000052,18555196,2.1557,5329093,141199,0.2872,0.0076,2.6496%,3.5300,6403270,45.3493,160.0815,20000052,8595328,2.3269,2669216,67271,0.3105,0.0078,2.5203%,3.3635,2698605,40.1154,134.9299
int,int_13_trace,32.30572509765625,Pass,290.9362316131592,40000052,6278674,6.3708,4243961,38992,0.6759,0.0062,0.9188%,0.9748,1136930,29.1580,28.4232,20000052,3062097,6.5315,2111572,17507,0.6896,0.0057,0.8291%,0.8753,521416,29.7833,26.0707
int,int_7_trace,128.17397212982178,Pass,357.54268765449524,40000048,15007631,2.6653,5944145,244229,0.3961,0.0163,4.1087%,6.1057,5598831,22.9245,139.9706,20000048,6335664,3.1567,3000751,112681,0.4736,0.0178,3.7551%,5.6340,2487602,22.0765,124.3798
int,int_17_trace,128.60758018493652,Pass,347.4777932167053,39999987,16855227,2.3732,6659971,268844,0.3951,0.0160,4.0367%,6.7211,6105234,22.7092,152.6309,20999987,6688485,3.1397,3432362,119336,0.5132,0.0178,3.4768%,5.6827,2627349,22.0164,125.1119
int,int_9_trace,152.5840139389038,Pass,338.1872203350067,40000050,14608663,2.7381,5800876,208893,0.3971,0.0143,3.6011%,5.2223,4814577,23.0481,120.3643,20000050,6037455,3.3127,2893544,93237,0.4793,0.0154,3.2222%,4.6618,2116617,22.7015,105.8306
int,int_29_trace,181.88746547698975,Pass,312.49748396873474,40000052,15993622,2.5010,4048870,500604,0.2532,0.0313,12.3640%,12.5151,12139183,24.2491,303.4792,20000052,7748075,2.5813,2031315,243588,0.2622,0.0314,11.9916%,12.1794,5852296,24.0254,292.6140
int,int_12_trace,204.59925079345703,Pass,609.8951218128204,59999603,18502909,3.2427,6357220,31135,0.3436,0.0017,0.4898%,0.5189,1103392,35.4390,18.3900,30999603,5012165,6.1849,4522132,28472,0.9022,0.0057,0.6296%,0.9185,993162,34.8821,32.0379
int,int_2_trace,94.08823490142822,Pass,257.7316482067108,30000052,18856942,1.5909,5366311,328491,0.2846,0.0174,6.1214%,10.9497,14866337,45.2565,495.5437,15000052,8820746,1.7005,2681980,162314,0.3041,0.0184,6.0520%,10.8209,6855803,42.2379,457.0519
int,int_33_trace,310.41816425323486,Pass,847.9369170665741,110000052,54262046,2.0272,16062450,881994,0.2960,0.0163,5.4910%,8.0181,42599070,48.2986,387.2641,55000052,26280033,2.0928,7710997,450404,0.2934,0.0171,5.8411%,8.1892,20583680,45.7005,374.2484
int,int_36_trace,201.8018684387207,Pass,470.05417704582214,53761949,35874226,1.4986,7755130,226988,0.2162,0.0063,2.9269%,4.2221,10100243,44.4968,187.8697,27761949,15436321,1.7985,4116890,106373,0.2667,0.0069,2.5838%,3.8316,4398041,41.3455,158.4197
int,int_35_trace,119.88736820220947,Pass,282.29347681999207,40000048,11508408,3.4757,5671843,99093,0.4928,0.0086,1.7471%,2.4773,5341787,53.9068,133.5445,20000048,5541875,3.6089,2842811,46771,0.5130,0.0084,1.6452%,2.3385,2510090,53.6677,125.5042
int,int_19_trace,184.28955841064453,Pass,370.55343770980835,40000052,8121807,4.9250,5852871,39773,0.7206,0.0049,0.6795%,0.9943,1549154,38.9499,38.7288,20000052,3776984,5.2952,2929049,13319,0.7755,0.0035,0.4547%,0.6659,596814,44.8092,29.8406
int,int_3_trace,96.88034057617188,Pass,329.451899766922,40000052,7164037,5.5835,4722773,41125,0.6592,0.0057,0.8708%,1.0281,1120137,27.2374,28.0034,20000052,3613376,5.5350,2249610,22131,0.6226,0.0061,0.9838%,1.1065,538953,24.3529,26.9476
int,int_1_trace,92.84952068328857,Pass,247.70399522781372,30000052,18851349,1.5914,5301134,350088,0.2812,0.0186,6.6040%,11.6696,14898411,42.5562,496.6128,15000052,8995309,1.6675,2642836,174205,0.2938,0.0194,6.5916%,11.6136,7055933,40.5036,470.3939
int,int_0_trace,137.11144542694092,Pass,306.47403955459595,40000041,14733665,2.7149,6223265,207041,0.4224,0.0141,3.3269%,5.1760,10051189,48.5469,251.2795,20000041,6536191,3.0599,3076555,100876,0.4707,0.0154,3.2789%,5.0438,4307732,42.7032,215.3862
